,in_degree,out_degree,betweenness,eigenvector,is_likely_promo
kenmegalopsuxos.bsky.social,2,2,0.0,5.535791006621989e-27,False
pinkbubblewitch.bsky.social,2,4,8.28719437863031e-07,2.0266817224418153e-30,False
newyorker.com,2,0,8.28719437863031e-07,9.891223853747346e-56,False
iamstephanie58.bsky.social,2,2,0.0,6.819404281880921e-36,False
danixi.bsky.social,2,3,0.0,3.572094808438135e-29,False
herbstwebber.bsky.social,2,2,0.0,6.819404281880921e-36,False
wormsgreenrealm.bsky.social,2,0,3.314877751452124e-06,7.656449603658345e-51,False
vuintrieri.bsky.social,2,1,0.0,5.3507618065122584e-42,False
queerde.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
reptvswifties.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
hailthesun.bsky.social,2,2,3.314877751452124e-06,2.9750048056096565e-19,False
ulti.com.br,2,0,0.0,2.9747786968423513e-30,False
hannahswiv.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
theswiftalchemy.swifties.social,2,1,0.0,5.3507618065122584e-42,False
marisbumf.bsky.social,2,1,8.28719437863031e-07,9.959499306053932e-48,False
mcclellandshane.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
karu1402.bsky.social,2,2,9.94463325435637e-06,3.0835473468652683e-19,False
sinnamonscouture.bsky.social,2,0,8.28719437863031e-07,9.891223853747346e-56,False
radplanets.com,2,2,0.0,7.491616466543244e-26,False
carbonmade.bsky.social,2,1,0.0,5.3507618065122584e-42,False
copilotsx.bsky.social,2,1,0.0,1.9140827384984395e-19,False
likeazombie.bsky.social,2,1,1.657438875726062e-06,2.924784010560439e-47,False
onetruestephen.bsky.social,2,2,1.3259511005808495e-05,4.126565437696951e-27,False
tracklist.com.br,2,0,1.657438875726062e-05,1.5447854823622787e-30,False
marxve.bsky.social,2,2,0.0,3.3881175859304923e-35,False
gooberbb.bsky.social,2,1,0.0,5.3507618065122584e-42,False
stephaniejane.bsky.social,2,2,9.94463325435637e-06,1.6110732290971243e-33,False
wannabee80.bsky.social,2,1,0.0,5.3507618065122584e-42,False
compoundsplural.bsky.social,2,2,0.0,2.469151012055328e-22,False
bedform.org,2,0,8.28719437863031e-07,9.891223853747346e-56,False
methyew.bsky.social,2,1,0.0,2.6920622622831257e-24,False
thelovelygirl.bsky.social,2,3,0.0,6.6399519856895775e-31,False
